Row	Entity	 Purpose
8	n_repid (fct_comments)	Links comment data to specific regulatory reports using a unique report ID.
9	v_comments	Stores analyst/system-entered comments about filings for context or audit.
10	n_repid (fct_regulatory_report)	Primary key used to join regulatory report metadata to activity records.
11	d_efile_gen_date	Timestamp used to determine when the report was electronically filed.
12	n_rr_status_key	Key used to join with status dimension to assess SAR workflow status.
13	n_repid (fct_sus_activity)	Links suspicious activity entries to their parent SARs (regulatory reports).
14	v_structuring_key	Identifies structuring terms from SARs using pattern matching.
15	v_structuring_desc	Provides descriptive label for structuring-related suspicious activity.
16	v_terror_fin_key	Identifies terrorism-related terms in SARs using regex logic.
17	v_terror_fin_desc	Description of terrorism-related suspicious activity.
18	v_fraud_key	Extracts fraud-related patterns from SARs for tagging and grouping.
19	v_fraud_desc	Describes fraud activity identified in SAR content.
20	v_casinos_key	Detects casino-related activity from suspicious activity records.
21	v_casinos_desc	Describes casino-related suspicious transactions or entities.
22	v_money_landrng_key	Pulls out laundering-related terms for classification from SAR content.
23	v_money_landrng_desc	Description of suspicious money laundering behavior.
24	v_id_doc_key	Identifies SARs involving suspicious identification documents.
25	v_id_doc_desc	Describes identity document-related suspicious activity.
26	v_oth_sus_actvty_key	Captures uncategorized suspicious terms from SARs using regex.
27	v_oth_sus_actvty_desc	Description for miscellaneous suspicious activities not falling in standard categories.
28	v_insurance_key	Identifies terms related to suspicious insurance activity.
29	v_insurance_desc	Describes insurance fraud or irregular behavior in SARs.
30	v_sec_fut_opt_key	Extracts mentions of securities, futures, or options from SAR text.
31	v_sec_fut_opt_desc	Description of suspicious financial instrument transactions.
32	v_mortgage_fraud_key	Identifies mortgage fraud patterns from SAR data using regex.
33	v_mortgage_fraud_desc	Description of mortgage fraud activity flagged in reports.
34	n_cyber_evnt_skey	Extracted cyber event key used to classify cybercrime activities.
35	v_cyr_othr_desc	Describes general or other cybercrime-related suspicious activity.
36	v_casinos_code	Key used to join SAR data with the casino dimension for enrichment.
37	v_casinos_desc (dim_casinos)	Provides casino entity details for use in labeling/reporting.
38	v_fraud_code	Code used to join suspicious activity data with the fraud dimension for classification.
39	v_fraud_desc	Descriptive label for the fraud category, used in final reporting.
40	v_id_doc_code	Code used to classify SARs involving ID document fraud or misuse.
41	v_id_doc_desc	Text description of the suspicious identity document activity.
42	v_insurance_code	Code used to identify and categorize insurance-related suspicious activity.
43	v_insurance_desc	Description used to label insurance fraud or irregularities in reports.
44	v_money_landrng_code	Code representing money laundering activity type, used for joins and categorization.
45	v_money_landrng_desc	Descriptive label for suspicious money laundering events in SARs.
46	v_mortgage_fr_code	Code used to detect and group mortgage fraud-related activity.
47	v_mortgage_fr_desc	Description for mortgage fraud entries, used for classification and labeling.
48	v_OTH_ACTVTY_CODE	Code for other miscellaneous suspicious activity, used when no specific category matches.
49	V_OTH_ACTVTY_DESC	Description of non-standard suspicious activity types.
50	v_sec_fut_opt_code	Code used to classify securities/futures/options-related activity.
51	v_sec_fut_opt_desc	Description of financial instrument-related suspicious behavior.
52	v_STRUCTURING_CODE	Code representing structuring activity, used for categorizing SARs.
53	v_STRUCTURING_DESC	Description of structuring behavior for interpretation and labeling.
54	V_TERR_FIN_CODE	Code used to classify terrorist financing-related suspicious activity.
55	V_TERR_FIN_DESC	Description of the suspected terrorist financing event for reporting.
